labels,notes,notes_len
0,37 39 40 39 37 39 37 40 42 40 44 42 40 42 40 37 44 42 37 42 44 45 44 42 40 44 44 49 51 52 51 44 47 44 49 44 49 51 52 51 49 47 49 44 44 42 40 42 44 49 44 42 47 44 42 45 39 37 44 42 40 44 44 56 37,65
0,28 30 32 35 33 35 36 35 33 32 30 32 33 35 35 37 35 40 39 35 35 33 32 33 32 33 32 28 23 32 33 32 33 32 28 23 25 23 47 47 47 44 40 42 37 40 47 40 40 39 40 39 35 51 52 51 47 42 40 39 40 39 40 39 35 37 40 44 42 40 42 44 52 40,74
0,46 41 42 49 47 46 44 54 53 49 54 54 54 54 37 42 44 46 49 47 46 44 32,23
0,37 47 42 39 42 44 42 41 39 42,10
0,37 40 42 45 47 49 52 54 57 59 61 59 57 57 52 54 55 55 54 52 50 52 50 52 49 47 45 40 42 40 42 40 47 49 52 54 52 49 47 45 57 57 57 57 54 52 50 52 52 54 47 28,52
0,30 35 39 35 46 35 39 35 28 35 39 35 44 35 39 35 27 37 39 37 44 37 39 37 23 32 35 39 35 44 35 39 35 22 30 35 39 35 46 35 39 35 20 28 35 39 35 44 35 39 35 20 27 37 39 37 44 35 40 32,60
0,40 42 43 47 45 43 42 46 49 52 50 49 47 54 57 57 55 55 54 52 54 50 52 28,24
0,38 40 43 45 36 38 40 40 31 33 45 45 52 50 52 47 43 48 47 40 45 40 52 45 57 33 38 47 59 36 48 60 35 33 33 45 40 52 38 50 40 52 43 55 47 59 5 40 47 59 60 48 45 57 7 33,56
0,29 36 36 34 32 34 32 29 27 29 41 48 46 44 46 44 41 39 32 41 32 32 29 41 39 36 34 36 53 51 46 48 36 39 41 44 41 39 36 34 34 36 34 32 34 39 41 36 36 39 41 39 36 39 29 41 29 29 27,59
0,32 34 35 35 32 25 35 34 32 30 27 27 29 30 30 32 29 27 25 30 29 27 30,23
0,45 45 45 45 47 45 45 40 42 45 45 47 45 42 40 40 33 37 35 35 35 33 35 33 30 28 40 40 42 40 37 35 35 52 54 57 28 33 37,39
0,34 39 41 42 41 41 39 39 34 34 27 35 35 34 32 32 34 35 35 37 39 41 35 39 35 39 32 37 32 37 29 32 29 32 29 32 29 32 34 42 44 46 46 53 51 34,46
0,32 34 35 37 39 40 42 44 44 42 40 46 42 42 39 44 39 44 42 42 42 40 40 40 39 39 39 37 44 44 42 35 47 46 46 46 46 44 44 35 35 44 42 42 39 44 39 42 44 42 32 32 40 40 39 40 42 37 39,59
0,35 30 33 42 33 35 30 32 30 42 30 35 30 35 42 33 30 42 30 33 30 33 30 42 42 42 20 20 18 11 6 30 30 35 35 38 38 42 40 37 33 30 30 30 33 30 30 35 35 38 38 42 40 37 33 30 37 35 42 39,60
0,44 44 42 44 32 34 35 42 42 40 39 39 37 35 44 44 42 39 44 46 47 46 44 39 44 32 34 35 37 39 40 32 34 34 35 37 35 34 35 34 30 34 32 34 35 37 39 40 44 46 44 37 32 34 36 32,56
0,42 41 38 41 39 38 34 36 36 34 36 38 39 41 43 46 45 46 48 57 53 55 56 55 53 51 50 50 51 43 43 45 46 48 50 51 53 55 53 51 50 46 48,43
0,32 34 35 44 34 30 27 42 39 44 47 32 49 34 35 49 51 34 30 44 27 32 44 51 54 54 39 51 42 54 37 54 56 39 54 54 56 56 44 37 32 51 34 54 58 35 56 54 51 49 47 46 34 30 44 46 47 27 46 44 42 32 44 32,64
0,39 39 48 44 46 44 54 52 39 51 40 49 39 51 37 49 39 51 51 51 51 49 51 49 51 52 52 52 52 49 51 52 54 52 51 49 51 51 51 51 51 48 49 51 52 51 52 54 56 57 59 61 56 58 56 54 27,57
0,40 45 42 47 40 45 44 46 47 49 51 49 47 49 51 51 51 49 49 51 39 42 42 44 47 47 49 47 44 42 39 42 42 44 47 47 47 47 44 42 51 49 49 49 51 49 47 44 49 42 42 51 51 51 49 49 51 39 42 42 44 47 47 49 47 44 42 39 42 42 42 44 47 47 47 44 42 51 49 49 49 51 49 44 47 27,86
0,42 41 39 41 36 42 41 39 41 38 36 38 34 36 39 39 38 36 34 34 35 35 35 38 39 43 27,27
0,32 44 32 44 32 44 32 44 32 44 33 45 33 45 35 47 35 47 35 47 35 47 35 47 35 47 37 49 37 49 39 51 40 52 40 52 40 52 40 52 40 52 32 44 32 44 33 45 35 47 37 49 37 49 37 49 37 49 37 49 37 49 35 47 33 45 28 44 30 45 32 44 32 44 32 44 32 44 32 44 33 45 33 45 35 47 35 47 35 47 35 47 35 47 35 47 37 49 37 49 39 51 40 52 40 52 40 52 40 52 40 52 32 44 32 44 33 45 35 47 37 49 37 49 37 49 37 49 37 49 37 49 35 47 33 45 32 44 33 45 32 44 40 28 27 39 37 25 37,149
0,45 45 45 44 42 40 42 37 40 40 37 40 42 44 47 44 42 40 37 35 37 40 42 37 35 33 35 32 30 30 33 28 30 28 25 28 33 33 30 28 30 33 49,43
0,41 43 46 48 50 48 50 46 48 48 46 48 45 46 29 31 34 31 34 36 34 36 36 38 41 41 43 46 48 50 34,31
0,56 42 49 44 40 42 61 59 40 42 44 49 47 40 56 54 56 54 52 54 56 37 49 40 52 42 54 44 56 47 59 49 61 50 62 52 47 50 64 62 59 57 59 57 55 50 52 50 55 45 47 49 47 49 47 52 54 49 52 49 54 56 51 54 53 54 56 25,68
0,42 42 49 47 47 49 47 45 42 45 42 40 37 42 40 37 42 40 35 33 40 37 42 42 49 47 47 49 47 45 42 45 42 40 37 42 40 37 42 40 35 35 33 30 30 54,46
0,46 44 43 44 46 51 49 50 46 46 47 48 51 53 54 55 48 51 54 55 48 51 54 55 48 51 44 46 44 43 41 41 47 48 46 46 44 39,38
0,38 39 41 46 53 50 46 41 46 48 49 48 46 41 43 45 45 42 43 45 45 46 46 45 43 46 48 53 50 39,30
0,37 40 42 42 49 47 47 49 47 45 42 45 42 40 37 42 40 37 42 40 35 33 40 37 42 42 49 47 47 49 47 45 42 45 42 40 37 42 40 37 42 40 35 35 33 30 30 54,48
0,42 42 45 42 47 47 45 42 40 42 42 40 38 35 38 42 40 30 33 38 37 35 33 35 42 47 47 47 45 43 45 38 42 40 38 40 45 47 47 45 42 47 45 42 45 40 42 42 40 42,50
0,38 50 38 50 31 43 26 38 31 43 38 50 40 52 38 50 38 50 38 50 38 50 36 48 35 47 38 50 35 47 38 50 47 45 43 45 43 42 47 43 55,41
0,41 43 48 51 48 51 43 48 41 43 48 43 41 46 41 46 41 43 48 41 46 41 46 34 36 41 39 43 43 44 36 51 39 51 41 39 41 41 43 43 46 46 50 51 41 53 39 51 46 46 58 58 44 56 43 55 41 53 39 51 36 48 34 46 36,65
0,35 33 35 36 38 36 35 33 31 43 42 38 40 52 54 30 55 31 57 33 59 35 59 52 52 59 52 52 59 52 52 59 52 52 59 52 31 43,38
0,43 45 47 45 43 45 47 45 43 40 47 43 40 38 43 40 31 38,18
