intro,outro,solo
37 39 42 37 37 39 40 39 40 39 40 44 39 39 40 42 40 39 40 42 42 40 39 37 39 40 40 39 37 35 37 39 44 42 35 37 39 37 39 37 39 42 37 37 39 40 39 40 39 40 44 39 39 40 42 40 39 40 42 42 40 39 37 39 40 40 39 37 35 37 39 44 42 40 39 37 39,27 28 30 30 35 37 35 37 39 40 42 35 37 35 34 32 34 35 30 42 44 42 40 39 40 39 37 27 28 30 30 35 37 35 37 39 40 42 35 37 37 35 34 32 44 42 37 39 40 39 37 35 35 37 39,39 39 48 44 46 44 54 52 39 51 40 49 39 51 37 49 39 51 51 51 51 49 51 49 51 52 52 52 52 49 51 52 54 52 51 49 51 51 51 51 51 48 49 51 52 51 52 54 56 57 59 61 56 58 56 54 27
34 34 39 41 41 39 37 34 39 39 37 39 41 44 41 46 41 37 39 41 46 46 41 39 37 29 32 34 34 32 34 39 41 37 34,34 34 34 39 41 41 39 37 34 39 39 37 39 41 44 41 44 46 41 37 39 41 41 46 41 39 37 29 32 34 32 34 39 41 37 34 34 34,39 41 42 44 46 49 51 53 53 51 49 46 51 49 51 53 56 53 58 53 49 51 53 58 53 51 49 41 41 44 46 44 46 51 53 49 46 46 48 49 48 49 51 53 51 53 56 34 58
49 48 46 41 44 46 46 44 44 39 44 41 41 39 37 34 34 34 46 46 44 46 48 48 48 48 48 49 48 48 46,49 48 46 41 44 46 46 44 44 39 44 41 41 39 37 34 34 34 46 46 44 46 46 46 46 44 41 39 49 48 46 41,46 46 44 46 49 41 44 46 45 45 44 45 45 44 45 49 44 49 51 53 53 53 53 51 44 49 47 46 53 49 44 49 58 56 49 51 49 53 53 51 49 51 49
39 37 39 46 39 37 34 37 44 37 39 37 39 46 46 46 46 39 37 39 42 39,37 39 46 39 37 34 37 44 44 37 39 37 39 46 46 46 46 39 37 39 42 39 39 41 42 39 42 39 42 39 42 44,39 42 39 42 39 42 39 42 44 44 44 44 37 41 37 41 37 41 37 41 42 42 46 44 42 44 42 44 42 41 42 40 42 40 39 40 39 39 37 34 35 37 35 34 35 34 32 34 44 41 38 30 32 30 29 32 30 32 30 29 27 26 37
43 41 40 38 38 36 38 36 38 41 45 41 43 45 43 45 43 45 48 45 43 48 45 41 43 43 43 43 41 43 38 38 40 41 40 41 40 41 48 43 38 41 45,41 43 45 43 45 43 45 48 45 43 48 45 41 43 43 43 43 41 43 38 38 40 41 40 41 40 41 48 43 41 40 38 38 36 38 36 38 41 45 41 43 45 43 45 43 45 48 45 43 48 45 41 43,36 48 33 45 29 41 33 45 38 50 36 48 31 43 28 40 26 38 29 41 33 45 31 43 28 40 24 36 26 38 33 45 31 43 36 48 33 45 34 46 33 45 38 50 33 45 34 46 33 45 38 50 33 45 34 46 33 45 38 50 33 45 34 46 33 45 38 50 33 45 34 46 33 45 40 52 33 45 34 46 33 45 45 57 33 45 34 46 33 45 41 41 53
32 34 41 46 49 46 44 41 41 41 39 41 44 41 37 39 39 37 39 39 37 39 41 41 44 41 41 46 49 46 44 41 41 41 39 41 44 41 37 39 39 37 39 41 32 37 34 32 34,41 46 49 46 44 41 41 41 39 41 44 41 37 39 39 37 39 39 37 39 41 41 39 41 41 46 49 46 44 41 41 41 39 41 44 41 37 39 39 37 39 39 41 39 37 34 32 34 41 46,41 41 44 46 46 53 49 49 51 49 41 41 53 53 58 58 53 53 41
39 35 42 42 44 44 39 37 35 35 32 42 42 44 44 40 39 37 37 35 37 39 42 44 42 39 37 35 37 35 37 39 42 42 42 42 44 44 39 37 35 42 42 44 44 40 39 37 37 37 35 37 37 39 42 42 44 42 39 37 39 34 32 30 32 35 35,39 39 39 39 34 32 30 27 32 32 35 34 32 30 32 32 35 32 44 39 37 35 32 37 37 39 40 39 37 37 39 39 39 39 34 32 30 32 32 35 34 32 30 32 32 35 32 44 39 37 35 32 37 37 40 39 37 39 35 42 42 44 44 39 37 35,42 44 44 39 37 35 42 44 44 39 37 42 44 44 40 39 37 42 44 40 37 39 37 39 34 32 30 32 44 44 42 39 30 32 34 35 37 39 40 42 44 46 47 49 51 52 42 54 44 56 44 56 39 51 37 49 35 47 42 54 44 56 44 56 40 52 39 51 37 49 37 49 39 51 34 46 32 44 27 39 30 42 32 44 51 46 44 42 44 47 39
39 38 36 34 36 39 36 34 31 24 31 29 31 29 27 24 34 31 39 38 36 34 36 39 27 24 29 29 31 34 26 26 22 24,29 31 34 31 29 27 29 31 24 29 31 29 27 24 34 31 29 31 34 31 29 27 29 31 29 36 34 36 39 31 34 27 34 29 31 39,51 50 48 48 51 48 43 46 48 46 41 43 41 36 39 39 50 51 50 48 46 48 46 48 51 51 48 55 53 53 55 58 50 50 48 46 48 29
42 42 45 44 42 42 40 42 37 40 42 42 45 44 42 42 40 37 37 42 42 37 35 37 40 40 37 33 32 32 32 40 37 35 33 35 33 32 30,37 37 37 35 33 32 30 32 28 30 33 33 33 30 40 37 35 37 37 42 42 40 37 35 33 33 30 28 25 25 28 30 37 35 33 30 28 30 37 40 42,42 45 44 42 40 42 37 40 42 45 44 42 40 37 52 49 47 49 54 54 52 49 52 47 49 45 44 52 49 47 44 42 37
33 31 34 33 31 34 33 31 34 36 38 41 36 34 33 33 38 31 34 33 31 34 33 31 34 33 31 34 33 31 33 31,31 31 31 29 26 31 33 34 33 31 29 31 34 34 34 33 31 38 38 31 33 34 33 31 29 31 34 36 38 41 36 34 33 31 29 31 34 33 31,43 45 46 48 50 51 48 49 50 48 47 48 50 49 50 45 48 46 42 43 44 45 43 39 36 34 30 32 33 31 33 34 36 38 39 36 37 38 36 35 36 38 33 35 36 34 31 33 34 36 38 33 38 36 34 34 31
47 42 45 49 47 47 42 45 49 47 47 45 49 52 49 49 47 45 49 44 49 47 45 47 45 47 42 42 45 49 47 47 42 45 49 47 47 42 45 48 47 47 45 52 50 49,40 40 49 47 45 49 47 45 49 44 49 47 45 47 45 47 42 45 49 47 47 42 45 49 47 47 45 49 52 49 49 47 45 49 44 49 47 45 47 45 47,49 52 47 50 44 47 48 45 49 42 45 48 44 49 47 45 50 45 50 45 49 50 48 49 45 48 45 49 47 45 42 30 32 33 30 28 40 44 33 42 45 42 45 47 48 49 47 47 45 45 42 45 47 42 48 49 47 47 47 42 45 42 42 45 40
42 41 42 41 42 34 42 41 37 39 37 39 30 39 39 37 42 41 42 34 46 44 41 39 41 42 41 39 37 39,30 32 34 34 34 34 32 30 32 32 34 35 35 35 34 32 35 34 30 32 34 34 34 37 34 32 34 32 35 34 42 41 42 34,42 44 46 46 51 46 51 44 46 39 42 44 46 51 46 51 49 46 51 30
25 37 25 32 25 37 37 37 37 37 36 25 32 25 25 37 37 37 37 25 32 32 32 29 27 25 27 29 27 25 25,25 25 27 29 29 32 32 32 32 29 32 34 36 37 37 37 37 36 29 32 34 36 37 37 37 37 36 34 32 32 29 27 25 27 27 25 25 29 27 29 32 25 25,37 49 37 44 30 34 30 34 30 34 30 36 30 37 32 39 29 37 37 49 37 39 36 36 37 36 32 27 25 24 25 22 36 36 37 37 34 34 25
39 37 35 35 42 42 42 35 37 39 42 39 47 44 44 42 44 42 39 39 37 35 42 42 42 44 42 44 42 44,32 35 37 39 39 37 35 32 35 32 35 32 39 39 37 32 35 37 39 39 39 37 35 30 32 42 42 42 35 39 37,30 35 39 35 46 35 39 35 28 35 39 35 44 35 39 35 27 37 39 37 44 37 39 37 23 32 35 39 35 44 35 39 35 22 30 35 39 35 46 35 39 35 20 28 35 39 35 44 35 39 35 20 27 37 39 37 44 35 40 32
30 32 32 32 32 32 32 39 39 37 35 37 39 39 32 32 32 32 37 37 35 32 35 37 37 39 39 39 39 44 44 42 39 39 42 32 37 37 37 35 39 39 30 27 30 32,32 35 32 39 39 35 32 30 32 35 35 32 30 35 35 32 30 35 35 37 39 39 39 42 40 40 39 39 39 37 35 37 37 37 35 37 39 37 30 27 30 32 32 32 32 32 32,20 30 32 32 30 27 20 20 32 30 27 20 32 30 27 20 20 30 32 32 30 27 20 20 32 30 27 20 32 30 27 20 20 30 32 32 30 27 20 20 32 30 27 20 32 30 27 20 20 30 32 32 30 27 20 20 32 30 27 20 32 30 27 20 32 32 35
47 45 43 40 50 48 45 50 48 45 50 50 50 50 48 45 48 47 45 43 40 50 48 45,45 45 45 48 48 43 45 48 50 52 52 50 55 52 50 50 52 52 48 50 50 52 45 45 43 43 40 45 45 48 48 43 45 48 50 52 55 57 50 52 50 48 50 52 52 48 50 43 40 50,48 50 48 45 43 40 50 48 50 47 55 52 43 48 50 52 54 56 52 45 57 48 52 50 52 50 48 50 52 45 45 43 40 48 47 48 50 43 45 45
30 32 34 32 30 29 30 30 30 37 30 30 35 34 35 34 35 37 34 32 34 35 37 34 35 37 35 34 32 34 30 32 34 32 30 29 30 30 30 37 30 30 35 35 35 27 34 32 30 30,34 35 37 34 35 37 35 34 32 34 30 32 34 32 30 29 30 30 30 37 30 30 35 34 35 34 35 37 34 32 34 35 37 34 35 37 35 34 32 34 30 32 34 32 30 29 30 30 30 37 30,44 46 42 41 39 37 37 37 34 34 32 34 37 34 39 42 41 34 42 44 42 41 37 25 32 32 34 34 34 34 34 34 34 32 37 34 37 34 37 32 34 37 42 46 44 42 42 41 41 39 37 34 32 39 41 42 44 41 42 34
37 42 34 35 35 30 32 35 32 35 32 30 35 37 39 40 39 37 35 32 35 38 37 35 35 30 42 39 37 42 34 35 32 30 32 35 32 35 32 30 35 37 39 40 39 37 35 32 35 32 37 35,32 35 35 32 32 35 35 23 25 27 27 32 32 32 35 35 32 32 37 40 37 39 39 32 35 35 35 32 32 35 32 35 39 40 37 39 35 30 30 32 35 32 35 32 39 32 37 30,44 42 49 47 42 37 46 44 37 35 42 46 47 46 42 39 47 46 42 34 35 51 25 28 44 42 47 56 44 39 35 42 58 39 35 30 34 59 35 30 27 30 54 27 30 25 27 37 54 35 49 51 47 54 49 51 47 54 49 51 37 47 35 54 49 51 37 47 39 54 47 49 47 54 42 47 49 47 54 44 47 49 47 54 39 47 35 49 47 37 54 52 40 39 51 47 35 44 32 49 51 49 52 44 30 51 54 42 49 47 46 44 42 27 54 49 32
41 38 36 34 34 31 31 34 34 34 31 29 31 34 36 36 38 36 34 31 31 31 31 34 36 38 38 36 36 29 31 34 36 36 41 38 36 34 34 31 31 34 34 34 31 31,29 31 34 36 36 38 36 34 31 31 31 31 34 36 38 38 36 36 29 31 34 36 36 41 38 36 34 34 31 31 34 34 34 31 31 29 31 34 36 36 38 36 34 31 31 31 31 34 36 38 38 36 36,43 46 45 48 46 50 46 48 50 53 55 55 53 55 58 57 55 53 50 53 53 55 55 53 55 53 50 53 45 46 45 43 38 34 33 31 48 48 46 48 53 50 48 46 48 50 43 50 53 52 55 43 41 43 53 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 50 48 29
47 38 38 38 40 43 43 43 43 43 40 45 47 45 43 38 40 43 43 43 43 40 40 43 45 42 43 42,35 38 38 38 38 35 40 38 38 35 35 33 31 31 31 28 31 33 35 35 38 38 38 35 40 38 38 35 33 31 31 31 31 31 31 31 28 33 33 33 33 35 33 31,38 40 43 45 47 50 50 47 45 43 43 55 55 55 54 54 54 52 50 40 43 40 43 45 47 48 47 45 43 50 50 50 47 45 35
38 40 43 52 50 47 45 43 38 47 45 43 43 45 47 45 38 47 45 43 45 47 47 47 45 47 50 45 45 45 43 45 50 50 52 50 48 48 50 52 50 50 47 45 43 40 38 40 43 45 43 47 50 52 43 38 47 45 43 43 40 38 43,35 33 35 38 38 40 38 35 38 38 40 38 40 38 38 35 35 33 35 40 38 40 43 43 45 43 38 40 43 43 45 43 40 38 40 43 40 38 35 33 40 40 40 40 40 40 39 39 40 42 43 43 43 43 45 43 47 45,52 50 47 47 45 43 40 38 33 35 38 42 43 45 43 45 47 45 45 43 45 47 45 43 40 47 52 50 57 54 50 45 43 42 43 42 34 38 38 41 38 34 34 29 27 31 39 34 39 36 38 55 57 62 35
27 27 35 34 35 34 32 30 32 32 32 34 35 37 34 32 37 32 34 32 37 32 34 32 39 37 35 37 39 27 32,35 34 32 34 27 32 30 28 30 28 27 25 27 31 32 27 28 27 35,46 47 49 47 46 44 46 43 49 47 49 51 49 47 46 49 47 44 50 47 49 52 50 49 47 49 46 42 48 47 44 50 39 38 39 40 39 37 35 34 35 32
40 42 40 42 44 47 47 47 44 49 47 44 42 44 42 40 42 44 44 47 35 40 42 44 47 47 47 44 49 49 47 44 42 44 47 49 37 40,35 37 47 44 44 42 42 40 37 44 35 37 47 47 47 49 47 44 42 40 42 42 44 42 44 47 49 47 44 47 40 37 35 37 44 42 44 42 42 40,59 61 64 66 64 37 28 33 59 56 32 54 56 59 61 59 32 35 30 28 47 49 52 54 52 37 28 33 35 32 30 35 32 35 37 35 35
40 40 42 42 40 40 40 35 37 38 37 35 35 35 33 35 40 28 35 35 33 30 35 28 30 35 32 30 32 28,37 37 35 33 35 37 30 37 35 33 35 35 37 40 32 30 28 30 35 32 28 33 33 30 33 37 35 35 35 28 30 35 35 35 40 35 32 30 28 30 35 30 28 37 37,33 35 40 40 42 42 40 40 40 35 37 37 38 37 35 33 28 30 33 35 40 28 35 35 32 30 35 28 30 35 32 30 28 40 40 42 40 52 47 37
26 28 31 28 31 26 26 28 31 35 35 33 31 28 35 33 31 28 26 26 28 31 28 31 26 26 28 31 35 35 33 31 28 35 33,31 28 28 28 23 21 26 28 31 31 31 28 28 31 28 28 26 23 21 26 28 31 31 31 28 28 23 26 28,35 38 43 42 43 42 38 39 35 35 35 40 40 35 40 40 40 40 33 35 33 35 33 35 33 35 38 45 45 45 45 47 47 38 50 50 49 48 50 50 49 48 50 45 40 31
47 45 47 50 50 47 45 42 42 45 47 45 45 42 40 42 45 40 45 47 45 42 40 38,47 45 47 50 52 47 45 42 50 47 45 47 50 47 45 42 40 42 45 50 50 52 47 45 38 40 45 42 40 45 47 45 42 45 47 45 42 38 40 45 42 40 47 45 47 50 50 47 45 42 42 45 47 45 45 42 42 40 42 45 40 45 47 45 42 40 38 47 45 47 50,35 47 45 47 50 52 49 47 45 47 45 40 42 40 42 40 42 40 42 40 42 40 42 40 42 40 42 40 50 52 50 45 47 47 50 45 42 40 42 40 42 45 47 45 47 50 52 50 47 45 47 52 49 47 45 47 49 42 45 47 45 47 45 47 47 47
58 56 51 56 56 56 56 56 55 53 51 55 56 58 56 51 56 56 56 56 56 55 53 51 58 60 61 60 60 51 56 56 56 56 56 55 53 51 58 56 58 61 60 56 56 56 60 58 56 56 55 58 56 56,56 56 56 56 56 55 53 51 55 56 58 56 51 56 56 56 56 56 55 53 51 58 60 61 60 51 56 56 56 56 56 55 53 51 58 56 55 56 56 56 56 60 58 56 56 55 58 56 51 56 56 48,44 46 43 44 43 41 36 34 41 43 44 46 43 44 43 41 37 34 36 41 56
39 41 41 38 39 41 41 45 41 41 45 46 41 39 38 38 36 38 41 36 38 34 31 38 36 34 34,38 36 38 39 38 36 34 34 33 34 36 38 36 38 38 36 38 39 38 36 34 34 33 38 36 34 41,45 39 41 46 45 38 43 46 45 38 43 46 45 39 41 46 45 36 43 46 45 36 43 46 45 36 41 46 45 36 41 46 45 38 43 46 45 38 43 14 46 45 38 43 19 46 45 21 38 43 22 46 45 41 38 36 34 36 36 24 41 43 46 48 26 50 53 55 53 29 43 45 46 45 46 43 27 39 41 46 43 39 43 46 43 39 43 26 46 43 39 43 46 43 24 39 43 41 46 39 43 22 41 46 36 41 24 41 45 50 48 53 58 60 19 38
43 43 41 41 43 41 39 36 36 39 41 39 41 46 46 46 48 46 43 41 41 48 46 46 43 41 41 43 43 41 41 43 39 41 39 36 36 36 36 39 36 34,41 41 41 43 41 39 41 46 41 43 39 39 36 41 36 36 36 39 41 43 41 39 36 36 39 36 34 34 39 39 39 39 36 34 41 43 41 43 41 39 41 36,46 48 46 41 43 41 39 36 36 39 31 41 48 29 46 29 46 44 43 36 44 34 32 34 36 34 36 31 29 34 36 36 39 43 41 44 39 41 43 46 48 51 44 48 44 48 44 46 44 48 24 36 48 29 34 46 41 43 41 41
30 33 35 35 35 38 37 37 35 33 30 28 26 30 33 35 35 35 38 37 35 33 30 30 33 35 35 35 38 37 37 33 42 42 40 42 38 35 37 38 38 38 42 40 37 35,30 33 35 35 35 38 37 37 35 33 30 28 26 30 33 35 35 35 38 37 35 33 30 30 33 35 35 35 38 37 37 33 42 42 40 42 38 35 37 38 38 38 42 40 37 35 30,42 45 47 47 50 49 47 45 47 45 42 40 38 42 45 47 47 47 50 49 45 52 54 42 45 47 47 50 49 49 47 45 42 40 42 42 45 47 47 50 49 47 45 47 30
48 41 50 48 48 46 45 43 36 43 45 46 36 48 46 45 43 43 41 38 41 41 36 43 41 45 41 41,38 41 41 36 36 43 45 41 36 41 45 46 48 41 50 48 48 46 45 43 36 43 45 46 36 48 46 45 43 43 41,41 48 46 45 43 45 36 36 45 34 43 34 43 33 41 34 38 41 48 46 45 43 45 36 41 48 46 45 41 43 41 40 38 36 38 48 50 50 46 48 45 46 43 45 41 48 43 40 38 36 31 29 38 29
40 40 40 51 47 47 44 47 47 47 49 52 40 40 44 47 44 47 44 42 35 35 44 42 35 37 40,35 44 44 42 40 39 39 39 37 35 35 35 37 45 44 47 40 44 44 42 37 42 35 44,47 56 54 52 47 44 42 40 37 49 56 54 52 49 44 42 40 39 51 61 59 56 51 37 35 32 30 49 59 28 57 52 25 49 23 44 35
34 32 32 32 32 34 32 39 41 37 29 32 32 29 32 34 34 36 34 34 34 32 37 37 34 37 34 37 34 32 29 32 32 29 32 34 36 34 34 34 32 37 37 37 37 34 34 37 39 44 44 44 44 41 39 37 37 37 34 37 34 37 39 39 39 39 39 37 41 39 41 41 41 41 39 37 37 37 39 37 34 32 32 32 32 34 32 39 41 37,32 32 32 29 34 36 34 34 34 32 37 37 37 34 37 34 32 29 32 32 32 29 34 36 34 34 34 32 37 37 37 34 37 39 44 44 44 44 41 39 37 37 34 37 34 37 39 39 39 39 39 37 41 39 41 41 41 41 39 37 37 37 39 37 34 32 32 32 32 34 32 39 41 37 29 32 32 32 29 34 34 36 34,41 37 44 41 37 41 29 32 32 32 29 34 34 36 34 34 34 32 37 37 37 34 37 34 32 29 32 32 29 34 36 34 34 34 32 37 37 37 34 34 37 39 44 44 44 44 41 39 37 37 34 37 34 37 39 39 39 37 41 39 41 41 41 41 39 37 37 37 39 37 34 32 32 32 32 34 32 39 41 37 41 32 37
31 36 38 43 38 40 38 36 35 36 35 36 40 35 31 33,24 27 31 24 27 24 27 31 24 26 24 27 29 31 34 36 31 29 27 24 31 34 36 31 29 27,35 43 35 43 35 43 35 43 35 43 35 24
43 48 48 46 48 43 50 48 46 48 46 48 46 43 36 41 41 39 41 36 36 46 48 46 41 43 43 48 46 43 41 46 43 43 41 43 39 41 41 41 43 46 43 43 41 43 36,36 43 43 41 43 38 38 38 36 34 36 36 41 41 39 41 39 36 39 36 39 41 43 43 48 43 41 43 46 41 43 39 41 41 41 36 41 43 41 34 31 34 36 36,31 36 34 36 48 51 48 31 50 38 36 34 31 43 46 43 29 41 29 24 32 31 29 44 48 34 46 36 34 29 31 50 46 48 50 51 53 31 55 36 39 38 36 48 39 51 41 53 38 50 39 38 36 34 31 50 46 43 29 41 29 29 31 34 43 31 34 46 36 36 48 43 51 43 50 43 48 36
26 29 33 34 31 33 34 38 36 34 33 29 31 31 33 36 34 33 31 27 29 31 34 33 31 31 33 33 36 38 33 33 36 31 31 33 36 31 31 33 26 33 36 38 33 33 41 40 36 31 28 31 29 29 33 33 33 36 38 33 33 36 31 31 33 36 40 40 41 38 38 36 34 36 38 41 41 40 40 38,26 26 33 31 29 28 26 29 31 28 24 21 24 26 29 28 29 28 26 24 26 26 29 33 34 31 33 34 38 36 34 33 29 31 31 33 36 34 33 31 27 29 31 34 33 31 31 33 33 36 38 33 33 36 31 31 33 36 31 31 33 26 33 36 38 33 33 41 40 36 31 28 31 29 29 33 33 33 36 38 33 33,36 38 43 40 38 36 43 41 40 41 45 34 38 40 43 33 45 48 52 38 50 43 40 38 36 45 55 41 53 41 39 34 36 29 32 34 32 34 39 36 36 36 36 36 36 36 36 36 40 40 38 37 29 36 29 31 26
42 44 42 44 47 42 44 51 49 47 42 44 51 42 44 51 42 44 51 47 49 47 39 39 46 47,35 37 39 37 39 37 39 42 42 35 37 39 37 39 37 39 44 42 35 37 39 35 35 39 35 35,49 51 54 52 51 47 49 49 47 46 35
31 33 40 33 35 31 28 36 28 26 26 28 31 33 36 28 33 40 33 36,36 35 33 31 28 31 33 35 33 36 35 33 31 28 31 33 28 26 26 28 31 28 33 35 33 31 33 31 28 26 24 33 36 38 38 35 33 28 35 33 31,40 43 45 52 45 48 24 28 26 24 23 55 21 52 23 50 19 47 52 50 52 47 45 31 43 38 35 33 31 48 47 45 47 45 43 40 52 50 48 47 45 47 45 43 40 31 43 33 45 35 47 40 52 38 50 40 52 31 43 33 45 36 48 57 55 53 52 50 48 36
47 50 52 52 52 52 52 59 59 57 57 59 57 54 54 52 50 50 52 54 54 52 52 50 52 57 57 57 55 57 59 59 55 54 52 50 50 50 52 54 54 54 55 57 57 55 54 52 47 50 52 52 52 52 52 59 59 57 57 59 57 54 54 52 50 50 52 54 54 52 52 50 52 57 57 57 55 57 57 59 55 54 52 50 50 50 52 54 54 54 55 57 57 55 54 52,47 47 47 52 52 54 54 52 50 50 45 45 45 43 45 45 45 50 47 43 45 47 47 47 47 47 52 52 54 54 54 57 57 50 50 50 47 47 54 55 54 52 52 50 52 47 47 47 52 52 54 54 52 50 50 45 45 45 43 45 45 45 50 47 43 45 47 47 47 47 47 52 52 54 54 54 57 57 50 50 50 47 47 54 55 57 57 55 54 52 47 50 52,52 52 52 50 48 47 45 40 43 45 45 47 43 42 40 38 50 40 52 42 54 35 38 16 40 23 28 40 30 40 31 40 35 40 47 21 45 28 45 31 45 33 47 36 45 14 42 21 42 26 42 28 40 30 38 40 42 16 42 23 40 28 40 30 38 31 40 30 28 40 52 23 43 55 9 45 57 16 21 45 57 23 43 55 24 45 57 26 28 31 47 59 16 47 59 23 45 57 28 43 55 30 42 54 31 40 52 30 14 38 50 21 26 38 50 28 40 52 30 42 54 28 26 42 54 23 43 55 16 45 57 23 45 57 28 43 55 30 42 54 31 40 52 47
47 52 52 47 45 42 43 45 50 50 52 47 43 42 40 47 45 43 45 47 48 47 45 47 43 45 47 52 52 47 45 42 43 45 50 50 52 47 43 42 40 47 45 43 45 47 45 43 42 40,43 42 40 42 43 47 42 43 42 40 38 40 43 35 36 35 36 47 45 38 40 42 45 43 36 38 40 43 45 47 42 43,43 47 42 45 33 38 45 50 45 43 43 42 40 40 38 37 34 37 40 40 42 47 42 47 42 40 39 42 47 45 47 48 50 40 52 43 55 42 54 40 52 36 48 38 50 38 50 38 50 36 48 35 47 31 43 33 45 35 47 36 48 38 50 39 51 40 52 42 54 43
49 47 45 45 47 49 45 54 52 49 47 45 42 40 45 49 52 54 49 47 45 42 45 45 47 45,37 37 37 35 37 40 40 42 42 42 40 37 42 40 45 45 45 42 47 45 40 42 42 42 45 42 40 37 35 37 37 37 35 37 40 40 42 42 42,47 49 37 42 45 49 54 49 45 47 45 44 40 44 47 52 47 44 45 44 42 38 42 45 50 49 47 45 52 40 42 45 45 47 45 44 40 38 50 54 37 49 52
38 41 41 41 38 36 36 38 36 38 45 41 41 38 41 45 43 36 43 41 40 43 41,36 34 33 33 33 31 29 31 36 33 36 38 33 33 33 31 33 33 36 38 36 38 38 41 36 36 38 33 34 33 31,48 55 55 57 55 53 53 50 45 48 45 50 48 50 52 53 53 53 53 50 48 48 45 41 43 41 45 43 41 41 38 45 43 36
39 37 35 37 35 37 39 40 42 44 42 44 46 47 47 47 47 46 44 42 42 42 42 44 35 35 35 44 44 44 42 35 35 35 35 37 39 40 39 37 35 39 37 35 37 35,39 35 37 39 37 37 39 37 35 35 37 39 37 37 39 37 32 34 35 37 30 35 35 35 37 39 40 39 37 35 39 37 35 37 35 37 39 40 42 44 42,35 30 33 42 33 35 30 32 30 42 30 35 30 35 42 33 30 42 30 33 30 33 30 42 42 42 20 20 18 11 6 30 30 35 35 38 38 42 40 37 33 30 30 30 33 30 30 35 35 38 38 42 40 37 33 30 37 35 42 39
37 30 30 30 42 42 42 44 45 47 44 37 37 37 42 40 38 35 40 42 44 44 49,45 44 42 38 44 42 40 37 30 30 30 42 42,45 44 42 38 45 44 42 40 37 42 40 38 37 35 33 35 37 42 44 45 45
41 36 45 43 41 43 40 36 45 43 41 41 38 41 38 41 38 41 43 45 43 41 41 45 46 45 41 41 41 41 43 45 46 45 43 41 38 41 38 41 38 41 43 45 43 36 45 43 41 41,36 45 43 41 41 36 45 43 41 43 40 36 45 43 41 41 38 41 38 41 38 41 43 45 43 41 41 45 46 45 41 41 41 41 43 45 46 45 43 41 38 41 38 41 38 41 43 45 43 44,29 29 31 33 28 29 31 29 28 29 26 24 26 29 26 29 33 34 33 36 34 33 33 29 40 41 43 41 36 33 33 34 36 36 34 29 36 34 29 36 43 36
52 52 48 50 47 47 47 47 47 43 48 45 48 48 45 57 55 48 45 48 48 50 50 45 50 48,31 33 36 36 36 38 40 38 36 33 36 31 33 36 36 36 38 40 45 43 40 43 40 43 45 48 48 45 43 43 40 38 40 38 38 36 33 33 38 36 43 45 45 45,31 33 40 33 38 31 33 43 40 40 36 38 31 33 40 33 38 33 36 45 40 40 36 31 33 36 31 31
43 43 50 48 41 41 41 51 50 41 53 50 48 48 46 46 45 46 50 43 41 41 48 46,41 41 41 41 41 39 38 43 41 34 41 39 38 39 38 36 34 34 43 45 45 45 43 43 43 45 46 46 46 43 46 43 43 43 50 48 41 41 41 51 50 41,44 54 53 44 56 53 51 51 49 48 49 49 47 49 53 56 56 54 53 54 54 53 51 53 49 53 51 51 49 48 46 48 49 41
45 47 45 45 35 35 33 35 38 40 40 38 40 35 38 40 42 42 42 42 40 40 40 38 40 35 35 33 35 38 40 42 42 42 40 40 40 40 45 47 42 42 40 42 42 40 38 42 40 38 38 35 40 38,47 47 47 47 45 42 47 45 45 45 42 47 45 47 47 47 47 45 42 47 45 42 45 42 45 47 47 47 49 49 45 50 49 47 42 40 38 40 40 38 40 33 47 47 42 47 45 47 45 45 35 35 33 35 38,33 37 35 30 35 35 33 35 38 40 40 38 40 35 38 40 42 42 42 42 40 40 40 38 40 35 35 33 35 38 40 42 42 42 40 40 40 40 45 47 42 42 40 42 42 40 38 42 40 38 38 35 40 38 26 28 29 30 31 33 35 47
32 34 41 46 49 46 44 41 41 41 39 41 44 41 37 39 39 37 39 39 37 39 41 41 44 41 41 46 49 46 44 41 41 41 39 41 44 41 37 39 39 37 39 41 32 37 34 32 34,34 41 34 37 34 32 29 41 39 37 32 39 32 36 34 32 34 34,34 34 32 34 32 34 32 34 37 39 37 39 32 32 32 32 37 37 34 37 39 41 37 37 37 34 32 34 34 32 34 37 34 32 34 34
48 48 48 48 50 48 46 46 43 43 43 43 43 43 43 46 43 41 41 38 38 36 38 36 34 31 38 36 38 36 34 31 29 31 34 43 41 38 36 36 38 34 31,31 31 31 38 38 38 41 36 36 36 34 31 36 36 36 38 34 31 43 43 43 43 43 43 43 41 38 41 38 36 36 36 34 38 38 46 46 46 45 43 41 43,43 43 43 45 46 45 46 48 50 48 46 46 45 41 38 43 41 41 43 45 46 48 46 50 50 50 48 46 48 50 46 41 43 45 46 48 48 41 43 45 46 48 50 51 53 51 50 48 46 45 43 41 43 31
