intro,outro,solo
40 40 40 40 38 36 40 38 38 38 40 38 36 33 31 31 31 33 35 35 33 31 33 40 40 40 40 38 36 40 38 38 38 40 38 36 33 31 31 31 33 35 35 36 35 35 35 36 38 40 43 43 40 43 40 40 41 40 38 38 40 38 36 33 36 38 40 40 41 40 40 38 36 38 40 43 43 40 45 45 43 40 40 41 40 38 38 38 40 38 36 33 35 36 35 31 33,36 38 40 43 43 40 43 40 40 41 40 38 38 40 38 36 33 36 38 40 40 41 40 40 38 36 38 40 43 43 40 45 45 43 40 40 41 40 38 38 38 40 38 36 33 35 36 35 31 33 36 38 40 43 43 40 43 40 40 41 40 38 38 40 38 36 33 36 38 40 40 41 40 40 38 36 38 40 43 43 40 45 45 43 40 40 41 40 38 38 38 40 38 36 33 35 36 35 31 33,40 38 47 38 36 45 36 35 43 33 31 40 33 31 38 29 31 36 33 35 36 38 35 31 28 45 47 48 40 38 47 38 36 45 36 35 43 33 31 40 33 31 38 29 31 36 33 35 36 40 38 36 35 33 31 38 40 42 43 45 47 48 40 45 47 48 50 48 47 48 45 45 48 50 52 53 52 50 48 47 48 50 47 43 40 55 53 52 50 48 48 47 45 47 40 40 47 48 47 45 47 52 47 45 47 41 47 48 47 45 47 52 50 48 45 47 45 44 53 52 50 48 50 52 47 45 36
41 39 41 38 38 39 41 41 41 38 41 39 39 41 46 43 41 41 34 43 41 34 44 43 39 41 46 43 41 41 39 43 41 38 38 39 46 46 46 38 41 39 39 41 46 43 41 41 39 39 38 36 38 39,41 43 48 45 43 43 41 43 40 40 41 43 43 43 40 43 41 41 43 48 45 43 43 43 36 45 43 43 36 45 41 43 48 45 43 43 41 43 41 40 41 48 48 40 43 41 41 43 48 45 43 43 41 41 40 38 40 43 41 43 41 45,39 34 38 39 34 38 39 34 38 39 41 34 38 39 46 34 38 39 34 38 39 34 38 39 41 34 38 39 51 34 38 39 34 38 39 34 38 39 46 34 38 58 39 34 38 39 34 38 39 34 38 39 41 43 39 41 63 34 39 41 29 34 34 39 41 34 39 41 34 29 46 34 39 58 57 41 56 34 39 41 27 34 39 41 34 39 41 27 46 44 39 53 52 41 51 39 41 46 34 29 34 39 41 39 41 29 34 46 34 39 41 58 59 60 41 43 48 31 36 36 41 51 43 50 49 48 24 41 43 45 29 41
41 46 50 48 50 51 50 46 43 48 50 46 44 53 51 46 41 43 44 44 43 44 46 43 41 39,43 41 43 41 43 39 38 39 41 39 38 39 38 39 39 38 36 38 43 41 43 41 43 48 50 48 46 44 43 44 43 44 51 46 46 44 43 43 43,39 38 39 46 38 39 46 39 38 39 46 38 39 46 39 43 43 41 43 43 41 43 41 43 46 46 51 53 55 58 53 58 55 51 51 53 51 46 43
47 50 50 50 47 45 47 47 43 45 43 40 35 38 40 38 40 43 45 47 45 45 45 47 43 40 43,50 50 50 50 52 50 47 45 43 35 40 43 40 38 40 40 40 43 45 52 50 47 45 47,38 40 38 50 38 43 38 43 38 43 38 43 38 43 38 43 38 43 52 50 52 50 47 45 47 35 38 35 33 35 33 31 28 38 40 42 43 45 33 36 33 36 33 36 33 36 33 36 33 36 33 38 50 47 45 47 43 40 31 35 43 31 35 31 36 31 36 31 35 33 38 50
43 46 43 43 43 43 43 43 50 48 46 48 46 45 46 43 46 43 43 46 43 43 43 43 43 43 50 46 48 45 46,46 43 43 41 43 41 38 38 38 38 38 38 38 41 41 36 43 43 43 43 46 43 41 41 41 41 41 41 41 46 45,45 46 51 51 50 51 50 48 46 50 46 48 50 48 46 50 48 45 46 48 46 45 46 43 46 43 45 46 45 43 46 46 51 48 50 51 50 48 50 46 50 46 48 50 48 46 50 48 46 31
39 49 39 39 39 46 46 44 46 37 42 42 42 42 46 49 46 44 46 39 42 34 37 34 42 42 42 42 39 46 46 39 49 39 39 39 46 46 44 46 37 42 42 42 42 46 49 46 44 46 46 44 42,34 34 39 39 39 39 39 39 37 39 42 37 34 37 34 34 34 39 39 39 39 39 39 39 37 39 37 34 34 37 30 32 34 34 37 37 37 37 37 34 32 34 37 37 37 39 39 39 39 37 34 34 34 37 37 37 37 37 34 32 34 42 41 42 41 39,39 39 39 37 39 27 30 32 32 32 30 32 34 27 30 32 32 30 32 34 32 34 37 39 42 44 42 46 46 46 46 46 46 46 46 46 46 46 46 44 46 51 49 51 49 25 27 30 30 27 30 32 32 25 27 51 34
44 43 44 36 44 44 44 44 36 41 44 43 43 43 41 39 41 43 41 43 44 43 44 36 44 44 44 48 48 46 43 41 43 44 43 44 36 44 44 44 44 36 41 44 43 43 41 39 41 41 39 38 39 39 38 36 38 38 38 38 36 34 36,39 38 39 31 31 31 36 38 39 38 36 38 31 31 31 36 38 39 36 34 36 27 26 27 36 36 36 34 34 34 39 41 39 38 39 31 31 31 36 38 39 39 41 41 41 41 41 39 38 27 34 36 39 39 38 36 38 36 34 36 41 43 44,32 31 32 39 31 32 36 36 34 29 29 34 32 27 34 29 29 31 34 31 34 31 36 31 34 32 39 32 39 41 36 36 38 39 41 43 43 41 39 39 36 36 36 38 39 39 38 36 41 43 39
26 28 31 31 33 31 28 26 28 23 21 19 16 19 21 26 23 21 23 21 19,23 24 26 28 26 21 26 26 28 26 19 21 23 31 28 23 26 28 31 31 33 31 28 26,42 43 42 38 33 35 43 42 38 33 35 38 45 47 47 45 45 43 40 38 38 35 28 31 33 38 35 33 31 23
49 49 56 54 54 54 46 46 51 49 37 44 46 49 46 49 51 53 51 49 46 42 39 42 49 42 44 42 42,42 37 37 37 37 37 34 39 37 37 37 37 37 34 32 42 37 37 37 37 37 34 39 37 37 37 37 37 37 46 44 42 39 39 41 42 44 46 44 42 42 47 47 46 44 42 51 49 37 44 46,44 56 44 56 46 58 37 49 39 51 37 49 39 51 46 58 44 56 44 56 42 49 44 46 46 49 49 46 51 44 49 46 51 49 54 46 51 44 49 54 61 51 58 49 56 46 54 46 51 44 49 46 51 44 56 46 58 42
47 47 47 50 47 45 45 47 45 42 40 38 38 38 38 45 42 42 40 38 38 38 38 38 42 45 45 42 45 42 45 47 33 42 40 38 38,33 35 38 38 38 38 35 33 38 38 40 38 35 38 40 40 40 40 38 35 40 40 42 40 42 45 47 47 45 47 50 47 45 42 40 38 35 33 35 38 38 38 38 40 38 42 45 47 47 47 47,41 45 43 40 36 38 41 45 43 40 36 38 50 48 46 45 43 41 43 44 43 44 45 46 45 46 45 40 42 45 40 38 38 33
38 36 36 38 41 41 43 41 34 34 36 41 38 43 41 43 46 43 41 38 41 41 38 38 36 36 38 41 41 43 41 46 45 43 45 43 41 38 46 45 43 45 43 41 38 36 34,38 36 36 38 41 41 43 41 34 34 36 41 38 43 41 43 46 43 41 38 36 38 38 36 36 38 41 41 43 41 46 45 43 45 43 41 38 46 45 43 45 43 41 38 36 34 38 36,38 50 41 43 41 38 53 41 43 55 41 38 46 36 34 41 53 38 50 41 43 58 41 57 43 55 46 48 46 43 53 41 43 55 41 38 50 53 55 53 38 50 41 43 46 48 53 50 48 55 46 43 46 43 41 53 38 50 58 57 43 55 46 48 46 43 53 41 43 55 41 38 50 53 55 53 38 34 38
48 46 45 45 41 41 43 45 45 43 45 50 43 41 40 41 43 43 41 43 48 41 41 41 43 45 45 43 45 50 43 41 40 41 43 43 41 43 48 41,45 45 45 45 41 43 40 40 41 43 43 43 43 43 40 41 45 45 45 45 45 41 43 40 40 41 43 43 43 43 43 40 41 41 43 45 41 38 45,57 38 41 45 38 41 45 36 40 43 38 41 45 41 45 50 50 55 36 40 43 36 40 43 34 38 41 36 40 43 40 43 48 55 40 43 40 43 38 41 40 43 40 43 48 40 41 53 34 43 36 45 41 38 41 41 43 38 41 57 41 45 41 45 40 43 41 45 45 50 62 50 53 48 52 55 45 48 40 43 41 40 41 55 40 48 40 48 60 48 50 43 44 38 45 57 38 43 38 41 45
42 43 45 50 49 50 49 50 49 50 50 50 52 49 47 49 47 49 49 49 50 47 45 47 45 47 47 47 49 45 43 45 43 45 50 50 49 50 49 50 49 50 50 50 52 49 47 49 47 49 47 47 45 47 45 50 47,42 42 42 42 42 42 42 42 42 42 42 43 43 43 43 43 43 43 43 43 43 43 45 42 42 42 42 42 43 42 40 38 40 42 42 42 42 42 42 42 42 42 42 42 43 43 43 43 43 43 43 43 43 43 43 45 42 42 42 42 42 43 42 42 45 45 50 49 50 49 50 47 50 50 50,50 52 54 50 54 50 54 50 54 55 54 52 49 52 49 52 49 52 54 52 50 47 50 47 50 47 50 52 54 57 52 50 52 54 52 50 52 49 45 52 50 52 49 50 47 42
35 34 32 30 34 32 30 29 30 37 37 35 34 34 32 34 35 41 37 34 32 30 29 30 37 37 35 34 34 32 34 35 34 32 30,35 33 31 30 31 38 38 36 33 33 35 36 33 35 35 33 31 30 31 38 38 36 35 33 35 36 35 33 31 35 33 31 30 31 38 38,42 39 42 39 44 35 44 35 46 37 46 47 46 46 42 39 42 39 44 35 44 35 46 47 46 44 42 35
38 35 47 45 45 33 38 38 38 45 42 42 42 42 42 45 47 49 47 45 38 38 38 38 45 42 35 38 38 35 47 45 45 33 38 38 42 40 38 38,38 38 40 40 42 42 40 42 40 42 40 40 38 42 45 45 47 42 42 40 42 33 38 38 38 38 38 40 40 40 38 42 38 38 40 40 42 42 40 42 40 42 40 40 38 42 45 45 47 42 42 40 38 33 35 38 38 38 38 40 38,42 43 45 50 43 42 40 38 37 42 54 47 59 49 61 50 62 52 64 49 61 50 62 42 54 38 50 43 55 45 57 47 59 49 61 45 57 38
57 57 57 57 57 52 52 55 48 50 52 55 55 57 52 55 55 57 55 52 50 52 50 48 45 50 48 45 43 43 45 48 50 52 55 55 55 45 48,42 45 45 47 50 47 45 42 45 47 50 52 54 54 54 54 54 54 54 42 47 45 54 54 54 54 54 54 50 50 52,43 43 45 42 45 45 45 47 50 47 45 42 45 45 47 50 52 54 54 54 54 54 54 54 42 47 45 54 54 54 54 54 54 50 50 52 42
42 42 42 44 47 47 39 42 44 47 44 42 44 42 39 35 32 39 35 37 39 39 37 39 42 37 39 37 35 32 30 32 32 30 44 42 39 37 39 30 32 35,39 39 39 37 39 37 39 30 32 35 35 35 35 32 44 42 42 37 39 39 39 37 39 42 39 37 37 35 32 37 37 37 35 37 37 35 30 32 35 42,39 42 44 42 39 42 39 37 39 37 35 32 35 44 47 49 47 44 42 39 37 39 42 44 42 30 32 35 34 35 37 39 42 39 37 39 42 44 39 37 39 37 35 32 37 37 39 42 44 42 39 37 32 35 54 54 56 56 51 51 49 49 51 51 47 47 44 44 39 42
47 45 42 40 38 40 33 35 38 40 42 45 45 47 45 42 42 40 38 38 38 35 35 33 38,33 35 38 40 42 45 45 47 45 42 42 40 38 38 38 35 35 38 40 33 35 38 40 42 45 45,33 30 28 42 42 40 45 38 38 37 42 35 35 37 40 38 33
42 40 35 35 40 42 42 44 44 42 42 40 39 39 39 35 35 40 42 42 44 44 42 42 40 39 37 39 32 37 39 39 40 40 39 39 37 35 37 39 40 44 42 40 37 44 42 40 37 35 37 40,35 35 35 35 35 30 32 35 37 37 37 37 37 33 32 30 28 39 39 39 39 39 35 32 28 28 37 37 37 37 37 33 37 39 35 40 40 32 35,31 30 28 35 40 40 40 35 35 35 43 43 43 43 45 47 45 40 47 43 40 44 45 44 40 36 33 36 35 35 32 35 44 44 44 42 40 49 49 44 46 37 35 34 35 37 23 27 35
